id,verse_text,label,sentiment,len_text,processed_text
41.0,"while i, ... i built up follies like a wall",0.0,negative,43.0,built folly like wall
42.0,"and then he shut his little eyes,",2.0,no impact,33.0,shut little eye
43.0,"ah, what a pang of aching sharp surprise",0.0,negative,40.0,ah pang aching sharp surprise
44.0,"and gladys said,",2.0,no impact,16.0,gladys said
45.0,"peep timidly from out its nest,",2.0,no impact,31.0,peep timidly nest
46.0,the oriole's fledglings fifty times,2.0,no impact,35.0,oriole fledgling fifty time
47.0,the hostile cohorts melt away;,3.0,mixed,30.0,hostile cohort melt away
48.0,"and the old swallow-haunted barns,--",0.0,negative,36.0,old swallowhaunted barn
49.0,"from god's design, with threads of rain!",2.0,no impact,40.0,god design thread rain
50.0,"how over, though, for even me who knew",2.0,no impact,38.0,though even knew
51.0,"warped into adamantine fretwork, hung",2.0,no impact,37.0,warped adamantine fretwork hung
52.0,wilt thou forget the love that joined us here?,2.0,no impact,46.0,wilt thou forget love joined u
53.0,"the which she bearing home it burned her nest,",0.0,negative,46.0,bearing home burned nest
54.0,have roughened in the gales!,2.0,no impact,28.0,roughened gale
55.0,"pilgrim and soldier, saint and sage,",2.0,no impact,36.0,pilgrim soldier saint sage
56.0,down in the west upon the ocean floor,2.0,no impact,37.0,west upon ocean floor
57.0,"""what did you hear, for instance?"" willis said.",2.0,no impact,47.0,hear instance willis said
58.0,should favour equal to the sons of heaven:,2.0,no impact,42.0,favour equal son heaven
59.0,"some, not so large, in rings,--",2.0,no impact,31.0,large ring
60.0,"the crown of sorrow on their heads, their loss",0.0,negative,46.0,crown sorrow head loss
61.0,"the eternal law,",2.0,no impact,16.0,eternal law
62.0,and lips where heavenly smiles would hang and blend,1.0,positive,51.0,lip heavenly smile would hang blend
63.0,"we're a band!"" said the weary big dragoon.",2.0,no impact,42.0,band said weary big dragoon
64.0,fu' to ba' de battle's brunt.,2.0,no impact,29.0,fu ba de battle brunt
65.0,"and brief related whom they brought, wher found,",2.0,no impact,48.0,brief related brought wher found
66.0,i lay and watched the lonely gloom;,0.0,negative,35.0,lay watched lonely gloom
67.0,honour to the bugle-horn!,1.0,positive,25.0,honour buglehorn
68.0,"a sceptre,--monstrous, winged, intolerable.",0.0,negative,43.0,sceptremonstrous winged intolerable
69.0,"max laid his hand upon the old man's arm,",2.0,no impact,41.0,max laid hand upon old man arm
70.0,"when on the boughs the purple buds expand,",2.0,no impact,42.0,bough purple bud expand
71.0,if the pure and holy angels,1.0,positive,27.0,pure holy angel
72.0,endymion would have passed across the mead,2.0,no impact,42.0,endymion would passed across mead
73.0,upon the thought of perfect noon. and when,1.0,positive,42.0,upon thought perfect noon
74.0,thy hands all cunning arts that women prize.,1.0,positive,44.0,thy hand cunning art woman prize
75.0,"reasoning to admiration, and with mee",1.0,positive,37.0,reasoning admiration mee
76.0,while the rude winds blow off each shadowy crown.,0.0,negative,49.0,rude wind blow shadowy crown
77.0,"the former, as the slacken’d reins he drew",2.0,no impact,42.0,former slacken ’ rein drew
78.0,"she falls back from the freedom she had hoped.""",2.0,no impact,47.0,fall back freedom hoped
79.0,"then--i would gather it, to thee unaware,",2.0,no impact,41.0,theni would gather thee unaware
80.0,"amidst the gold and the purple, and the pillows of his bed:",2.0,no impact,59.0,amidst gold purple pillow bed
81.0,"all hastening onward, yet none seemed to know",2.0,no impact,45.0,hastening onward yet none seemed know
82.0,the wheat-blade whispers of the sheaf.,2.0,no impact,38.0,wheatblade whisper sheaf
83.0,"but o, nevermore can we prison him tight.",0.0,negative,41.0,nevermore prison tight
84.0,"under these leafy vaults and walls,",2.0,no impact,35.0,leafy vault wall
85.0,"(distinctly here the spirit sneezed,)",2.0,no impact,37.0,distinctly spirit sneezed
86.0,it shines superior on a throne of gold:,1.0,positive,39.0,shine superior throne gold
87.0,around it cling.,2.0,no impact,16.0,around cling
88.0,"may meditate a whole youth's loss,",0.0,negative,34.0,may meditate whole youth loss
89.0,"i'm safe enlisted fer the war,",2.0,no impact,30.0,im safe enlisted fer war
90.0,"whom phoebus taught unerring prophecy,",2.0,no impact,38.0,phoebus taught unerring prophecy
91.0,"when thee, the eyes of that harsh long ago",0.0,negative,42.0,thee eye harsh long ago
92.0,"flutter,",2.0,no impact,8.0,flutter
93.0,a way that safely will my passage guide.”,2.0,no impact,41.0,way safely passage guide ”
94.0,and breaths were gathering sure,2.0,no impact,31.0,breath gathering sure
95.0,"you have done this, says one judge; done that, says another;",2.0,no impact,60.0,done say one judge done say another
96.0,in their archetypes endure.,2.0,no impact,27.0,archetype endure
97.0,"returne, the starres of morn shall see him rise",2.0,no impact,47.0,returne starres morn shall see rise
98.0,"brown-gabled, long, and full of seams",2.0,no impact,37.0,browngabled long full seam
99.0,"the foes inclosing, and his friend pursued,",0.0,negative,43.0,foe inclosing friend pursued
100.0,the tribute of this verse.,2.0,no impact,26.0,tribute verse
101.0,"take the warm welcome of new friends with thee,",1.0,positive,47.0,take warm welcome new friend thee
102.0,"augmented, sweet, a hundred fold",1.0,positive,32.0,augmented sweet hundred fold
103.0,in some lady's gyahden.,2.0,no impact,23.0,lady gyahden
104.0,and bow to dread inquisitor and worship lords of dust;,0.0,negative,54.0,bow dread inquisitor worship lord dust
105.0,its temples and its palaces did seem,2.0,no impact,36.0,temple palace seem
106.0,"but i, or any demmercrat, feels comf'table to stan' on,",2.0,no impact,55.0,demmercrat feel comftable stan
107.0,"miles off, three dangerous miles, is home;",0.0,negative,42.0,mile three dangerous mile home
108.0,every day a rich reward will give;,1.0,positive,34.0,every day rich reward give
109.0,"else, suffer’d, it will set the heart on fire,",0.0,negative,46.0,else suffer ’ set heart fire
110.0,"who, never looking forward, are indeed",2.0,no impact,38.0,never looking forward indeed
111.0,gay little heart!,1.0,positive,17.0,gay little heart
112.0,"while from his hand i squeeze the golden prize,",2.0,no impact,47.0,hand squeeze golden prize
113.0,"among the sources of thy glorious streams,",1.0,positive,42.0,among source thy glorious stream
114.0,as when i read in god's own holy book.,2.0,no impact,38.0,read god holy book
115.0,"and while before me, spotted with white sails,",2.0,no impact,46.0,spotted white sail
116.0,yet that whip's name too noble,2.0,no impact,30.0,yet whip name noble
117.0,"i'm comin', ed.",2.0,no impact,15.0,im comin ed
118.0,"what gods, what madness, hither steer’d your course?",0.0,negative,52.0,god madness hither steer ’ course
119.0,"and raised their eyes above,",2.0,no impact,28.0,raised eye
120.0,it spoils me for the smiling of the rest’—,1.0,positive,42.0,spoil smiling rest ’ —
121.0,"yearns to its source. the spirit thirsts for god,",2.0,no impact,49.0,yearns source spirit thirst god
122.0,that wisdom's lips seemed borrowing friendship's heart.,1.0,positive,55.0,wisdom lip seemed borrowing friendship heart
123.0,the oil upon the puddles dries,2.0,no impact,30.0,oil upon puddle dry
124.0,snows hide his shoulders; from beneath his chin,2.0,no impact,47.0,snow hide shoulder beneath chin
125.0,when the glance hast lost its beam;,0.0,negative,35.0,glance hast lost beam
126.0,"best gems of nature's cabinet,",1.0,positive,30.0,best gem nature cabinet
127.0,"as round some giant hive, all day and night,",2.0,no impact,44.0,round giant hive day night
128.0,"whether they met on festal eve, in field,",2.0,no impact,41.0,whether met festal eve field
129.0,"who cometh over the hills,",2.0,no impact,26.0,cometh hill
130.0,"in the shadow of the shores; as dead leaves wake,",0.0,negative,49.0,shadow shore dead leaf wake
131.0,touch it: the marble eyelids are not wet--,2.0,no impact,42.0,touch marble eyelid wet
132.0,"oh, say, is he, the eternal, there?",2.0,no impact,35.0,oh say eternal
133.0,the blessed memory of thy worth,1.0,positive,31.0,blessed memory thy worth
134.0,"from his own tripod, and his holy tree;",2.0,no impact,39.0,tripod holy tree
135.0,i sate down beneath the beech,2.0,no impact,29.0,sate beneath beech
136.0,a million torches lighted by thy hand,1.0,positive,37.0,million torch lighted thy hand
137.0,thy sleep makes ridiculous.,0.0,negative,27.0,thy sleep make ridiculous
138.0,whose potent unity and concentric force,1.0,positive,39.0,whose potent unity concentric force
139.0,of peace? it is thy father's name. thy life,2.0,no impact,43.0,peace thy father name thy life
140.0,"now, if thou art a poet, tell me not",2.0,no impact,36.0,thou art poet tell
141.0,"who stood in expectation by,",2.0,no impact,28.0,stood expectation
142.0,"mine eyes were of their madness half beguiled,",0.0,negative,46.0,mine eye madness half beguiled
143.0,"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,",2.0,no impact,63.0,jes heavy nough turn scale thets doubtfle wrong way
144.0,you sha' n't roll yo' eyes at me.,0.0,negative,33.0,sha nt roll yo eye
145.0,case dey nevah tech a drouf.,2.0,no impact,28.0,case dey nevah tech drouf
146.0,it will be spring again.,2.0,no impact,24.0,spring
147.0,"mine are calm and tranquil days,",1.0,positive,32.0,mine calm tranquil day
148.0,sang as little children sing;,2.0,no impact,29.0,sang little child sing
149.0,the things it wrought on; i believe,2.0,no impact,35.0,thing wrought believe
150.0,"from flight, seditious angel, to receave",0.0,negative,40.0,flight seditious angel receave
151.0,"what once has been and ne'er shall be again,",2.0,no impact,44.0,neer shall
152.0,"sky, marsh, my soul, and yonder sail.",2.0,no impact,37.0,sky marsh soul yonder sail
153.0,"thy merited reward, the first assay",1.0,positive,35.0,thy merited reward first assay
154.0,"except in france; and when it’s found in france,",2.0,no impact,48.0,except france ’ found france
155.0,for the greek must ask elsewhere.,2.0,no impact,33.0,greek must ask elsewhere
156.0,whose anvil's even din,2.0,no impact,22.0,whose anvil even din
157.0,"that truthful teacup, our dictator, knows;",2.0,no impact,42.0,truthful teacup dictator know
158.0,when hills are free from snow,2.0,no impact,29.0,hill free snow
159.0,"uttering bare truth, even so as foes commend.",1.0,positive,45.0,uttering bare truth even foe commend
160.0,"endu'd with human voice and human sense,",2.0,no impact,40.0,endud human voice human sense
161.0,whatever anybody had,2.0,no impact,20.0,whatever anybody
162.0,"is passed, and our aereal speed suspended.",2.0,no impact,42.0,passed aereal speed suspended
163.0,"afar the melancholy thunder moaned,",0.0,negative,35.0,afar melancholy thunder moaned
164.0,"their hate, and selfishness, and pride!",0.0,negative,39.0,hate selfishness pride
165.0,"i would don my hose of homespun gray,",2.0,no impact,37.0,would hose homespun gray
166.0,an hundred silken cords are set,2.0,no impact,31.0,hundred silken cord set
167.0,i have lost the urban ways.,2.0,no impact,27.0,lost urban way
168.0,"and sorrowful to-day, thy children set",0.0,negative,38.0,sorrowful today thy child set
169.0,"or by some cabin door, a bush",2.0,no impact,29.0,cabin door bush
170.0,was freedom's home or glory's grave!,3.0,mixed,36.0,freedom home glory grave
171.0,save for a cry that echoes shrill,0.0,negative,33.0,save cry echo shrill
172.0,"with its close-curling gold, and love revived.",1.0,positive,46.0,closecurling gold love revived
173.0,a golden helm his front and head surrounds,2.0,no impact,42.0,golden helm front head surround
174.0,"but, through the war-cloud, pray to thee",3.0,mixed,40.0,warcloud pray thee
175.0,"swing, like a ship at anchor, roun' my base,",2.0,no impact,44.0,swing like ship anchor roun base
176.0,for peace or rest too well he saw,2.0,no impact,33.0,peace rest well saw
177.0,from her stately place on high.,1.0,positive,31.0,stately place high
178.0,that passed with you and me.--,2.0,no impact,30.0,passed
179.0,sweet hope!,1.0,positive,11.0,sweet hope
180.0,"for high, and yet more high, the murmurs swell",2.0,no impact,46.0,high yet high murmur swell
181.0,"let those whom nature hath not made for store,",2.0,no impact,46.0,let nature hath made store
182.0,"said, `pass not, so cold, these manifold",2.0,no impact,40.0,said pas cold manifold
183.0,the adulterate death of lucrece and her groom.,0.0,negative,46.0,adulterate death lucrece groom
184.0,whilst this....,2.0,no impact,15.0,whilst
185.0,"""the snow that husheth all,",2.0,no impact,27.0,snow husheth
186.0,"then pausing, thus his prophecy renews:",2.0,no impact,39.0,pausing thus prophecy renews
187.0,to accomplish suicide.,0.0,negative,22.0,accomplish suicide
188.0,early or late? or shall that commonwealth,2.0,no impact,41.0,early late shall commonwealth
189.0,"he plays a little, sings a song,",2.0,no impact,32.0,play little sings song
190.0,"each by his fiery torture howl and rave,",0.0,negative,40.0,fiery torture howl rave
191.0,"and twitter, and again are still.",2.0,no impact,33.0,twitter still
192.0,my daily thoughts perpetual converse held,2.0,no impact,41.0,daily thought perpetual converse held
193.0,"yon trunk had thrice a hundred rings,",2.0,no impact,37.0,yon trunk thrice hundred ring
194.0,is lovely round; a beautiful river there,1.0,positive,40.0,lovely round beautiful river
195.0,"take heed (dear heart) of this large privilege,",1.0,positive,47.0,take heed dear heart large privilege
196.0,at once comes tumbling down the rocky wall;,0.0,negative,43.0,come tumbling rocky wall
197.0,"sat mournfully guarding their corpses there,",0.0,negative,44.0,sat mournfully guarding corps
198.0,low in supplication bending.,2.0,no impact,28.0,low supplication bending
199.0,twas when you stole my maidenhead;,0.0,negative,34.0,twas stole maidenhead
200.0,"""sorry?  of course you are, though you compress,",2.0,no impact,48.0,sorry course though compress
201.0,i would not live alway,2.0,no impact,22.0,would live alway
202.0,"the king ordains their entrance, and ascends",1.0,positive,44.0,king ordains entrance ascends
203.0,very sleepy with the silence.,2.0,no impact,29.0,sleepy silence
204.0,which clanged along the mountain's marble brow--,2.0,no impact,48.0,clanged along mountain marble brow
205.0,"it steam in winter like an ox's breath,",2.0,no impact,39.0,steam winter like ox breath
206.0,"in prosperous days. like a dim, waning lamp",3.0,mixed,43.0,prosperous day like dim waning lamp
207.0,jarr'd his own golden region; and before,2.0,no impact,40.0,jarrd golden region
208.0,"flood his black hearthstone till its flames expire,",0.0,negative,51.0,flood black hearthstone till flame expire
209.0,when high i heap it with the weed,2.0,no impact,33.0,high heap weed
210.0,the climax of those hopes and duties dear,1.0,positive,41.0,climax hope duty dear
211.0,wait his returning strength.,2.0,no impact,28.0,wait returning strength
212.0,"strove to raise itself in blessing,",1.0,positive,35.0,strove raise blessing
213.0,nile shall pursue his changeless way:,2.0,no impact,37.0,nile shall pursue changeless way
214.0,i must be home by noon-time with the cart.',2.0,no impact,43.0,must home noontime cart
215.0,both the unseen and the seen;,2.0,no impact,29.0,unseen seen
216.0,the poet comes the last!,2.0,no impact,24.0,poet come last
217.0,with many sighs;,2.0,no impact,16.0,many sigh
218.0,"where, all the long and lone daylight,",2.0,no impact,38.0,long lone daylight
219.0,full of the calm that cometh after sleep:,1.0,positive,41.0,full calm cometh sleep
220.0,"men said, into a smile which guile portended,",0.0,negative,45.0,men said smile guile portended
221.0,"still sigurd rides with the brethren, as oft in the other days,",2.0,no impact,63.0,still sigurd ride brother oft day
222.0,was she not somewhat that he could not rule,2.0,no impact,43.0,somewhat could rule
223.0,"gnossian his shafts, and lycian was his bow:",2.0,no impact,44.0,gnossian shaft lycian bow
224.0,"you didn't stop for fuss,--",2.0,no impact,27.0,didnt stop fuss
225.0,"deaf, and dumb, and blind, and cold,",0.0,negative,36.0,deaf dumb blind cold
226.0,i'm here--so far--and starting on again.,2.0,no impact,40.0,im hereso farand starting
227.0,"a different man was brother timothy,",2.0,no impact,36.0,different man brother timothy
228.0,see! neptune’s altars minister their brands:,2.0,no impact,44.0,see neptune ’ altar minister brand
229.0,"to match your wit against the maker's will,",2.0,no impact,43.0,match wit maker
230.0,"absently fingering and touching it,",2.0,no impact,35.0,absently fingering touching
231.0,three hours the first november dawn,2.0,no impact,35.0,three hour first november dawn
232.0,ran ever clearer speech than that did run,1.0,positive,41.0,ran ever clearer speech run
233.0,"""i say it's someone passing.""",2.0,no impact,29.0,say someone passing
234.0,"the visual nerve is withered to the root,",0.0,negative,41.0,visual nerve withered root
235.0,"""what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?""",3.0,mixed,75.0,hope wouldst thou hope sigurd ere kiss twain depart
236.0,"there is nothing to hope for, i am tired,",0.0,negative,41.0,nothing hope tired
237.0,"i left the place with all my might, --",2.0,no impact,38.0,left place might
238.0,"let dat cradle swing,",2.0,no impact,21.0,let dat cradle swing
239.0,he has no calling and he owns no trade.,2.0,no impact,39.0,calling owns trade
240.0,"as they were loosened by that hermit old,",2.0,no impact,41.0,loosened hermit old
241.0,"then rose they up around him,",2.0,no impact,29.0,rose around
242.0,but because she stept to her star right on through death,3.0,mixed,56.0,stept star right death
243.0,an' see a hundred hills like islan's,2.0,no impact,36.0,see hundred hill like islans
244.0,and i am still the same;,2.0,no impact,24.0,still
245.0,misnames as the dog rosey now.,2.0,no impact,30.0,misnames dog rosey
246.0,have seen the danger which i dared not look,0.0,negative,43.0,seen danger dared look
247.0,"and hoping chink, she talked of morts of luck:",2.0,no impact,46.0,hoping chink talked morts luck
248.0,"the meadows mine, the mountains mine, --",2.0,no impact,40.0,meadow mine mountain mine
249.0,since ferdinand and you begun,2.0,no impact,29.0,since ferdinand begun
250.0,i'm always thinkin' long.,2.0,no impact,25.0,im always thinkin long
251.0,"ho! philip, send, for charity, thy mexican pistoles,",2.0,no impact,52.0,ho philip send charity thy mexican pistoles
252.0,on to their shining goals:--,1.0,positive,28.0,shining goal
253.0,glory might burst on us!,1.0,positive,24.0,glory might burst u
254.0,"what's de use o' gittin' mopy,",2.0,no impact,30.0,whats de use gittin mopy
255.0,"yet by experience taught we know how good,",2.0,no impact,42.0,yet experience taught know good
256.0,all foredoomed to melt away;,0.0,negative,28.0,foredoomed melt away
257.0,as if she were a woman. we who have clipt,2.0,no impact,41.0,woman clipt
258.0,"it would be different if more people came,",2.0,no impact,42.0,would different people came
259.0,"plucked from the death, wilt thou repay me thus?",3.0,mixed,48.0,plucked death wilt thou repay thus
260.0,"a spirit of unresting flame,",1.0,positive,28.0,spirit unresting flame
261.0,"the present is enough, for common souls,",2.0,no impact,40.0,present enough common soul
262.0,"hear its low inward singing,",2.0,no impact,28.0,hear low inward singing
263.0,"be sure to read it rightly. so, i mused",2.0,no impact,39.0,sure read rightly mused
264.0,and keep my senses straightened,2.0,no impact,31.0,keep sens straightened
265.0,three trojans tug at ev’ry lab’ring oar;,2.0,no impact,40.0,three trojan tug ev ’ ry lab ’ ring oar
266.0,"mind us of like repose, since god hath set",2.0,no impact,42.0,mind u like repose since god hath set
267.0,lift their blue woods in broken chain,2.0,no impact,37.0,lift blue wood broken chain
268.0,in nothing is wanting;,2.0,no impact,22.0,nothing wanting
269.0,but thrown in a heap with a crush and a clatter;,0.0,negative,48.0,thrown heap crush clatter
270.0,"and kissed him with a sister's kiss,",2.0,no impact,36.0,kissed sister kiss
271.0,"""thou of the god-lent crown,",2.0,no impact,28.0,thou godlent crown
272.0,like pageantry of mist on an autumnal stream.,2.0,no impact,45.0,like pageantry mist autumnal stream
273.0,"and she said: ""what dost thou, brynhild? what matter dost thou seek?""",2.0,no impact,69.0,said dost thou brynhild matter dost thou seek
274.0,or the bolder art essaying,2.0,no impact,26.0,bolder art essaying
275.0,"thither, if but to prie, shall be perhaps",2.0,no impact,41.0,thither prie shall perhaps
276.0,o'er sweet profounds where only love can see.,1.0,positive,45.0,oer sweet profounds love see
277.0,"he smell de bacon cookin', an' he hyeah de fiah hum;",2.0,no impact,52.0,smell de bacon cookin hyeah de fiah hum
278.0,came in slow pomp;--the moving pomp might seem,2.0,no impact,46.0,came slow pompthe moving pomp might seem
279.0,"with peace and soft rapture shall teach life to glow,",1.0,positive,53.0,peace soft rapture shall teach life glow
280.0,but thy tranquil waters teach,1.0,positive,29.0,thy tranquil water teach
281.0,"smoothing the clustered hair, and parting it",2.0,no impact,44.0,smoothing clustered hair parting
282.0,"in all that clang and hewing out of men,",2.0,no impact,40.0,clang hewing men
283.0,"her scutcheon shows white with a blazon of red,--",2.0,no impact,49.0,scutcheon show white blazon red
284.0,"looks, and is dumb with awe;",3.0,mixed,28.0,look dumb awe
285.0,"then oer the rushes flies again,",2.0,no impact,32.0,oer rush fly
286.0,"a thousand rubs had flattened down each little cherub's nose,",2.0,no impact,61.0,thousand rub flattened little cherub nose
287.0,"a fragrance from the cedars, thickly set",2.0,no impact,40.0,fragrance cedar thickly set
288.0,of bright and dark obscurity;,3.0,mixed,29.0,bright dark obscurity
289.0,"science and song, and all the arts that please;",1.0,positive,47.0,science song art please
290.0,"you turn, o jeanne, on our mystery",2.0,no impact,34.0,turn jeanne mystery
291.0,a graciousness in giving that doth make,1.0,positive,39.0,graciousness giving doth make
292.0,most beauteous isadore!,1.0,positive,23.0,beauteous isadore
293.0,whose instinct was to listen and obey.,2.0,no impact,38.0,whose instinct listen obey
294.0,but homesick tears would fill the eyes,0.0,negative,38.0,homesick tear would fill eye
295.0,"already, land! thou hast declared:  'tis done.",1.0,positive,46.0,already land thou hast declared ti done
296.0,with war unhop’d the latians to surprise?,2.0,no impact,41.0,war unhop ’ latians surprise
297.0,"the eyes beside had wrung them dry,",2.0,no impact,35.0,eye beside wrung dry
298.0,tis the chronicle of art.,2.0,no impact,25.0,ti chronicle art
299.0,"that moved in the beginning o'er his face,",2.0,no impact,42.0,moved beginning oer face
300.0,and glance securely round.,2.0,no impact,26.0,glance securely round
301.0,so that ye for them are made,2.0,no impact,28.0,ye made
302.0,of course throw monstrous shadows: those who think,0.0,negative,50.0,course throw monstrous shadow think
303.0,he who plays with old iagoo,2.0,no impact,27.0,play old iagoo
304.0,“why won’t the farm next to it do for you?”,2.0,no impact,43.0,“ ’ farm next ”
305.0,"on which an army once did feast,",2.0,no impact,32.0,army feast
306.0,their country free and joyous--,1.0,positive,31.0,country free joyous
307.0,o sun-hint that hath overspread,2.0,no impact,31.0,sunhint hath overspread
308.0,"the mad briareus of disunion rise,",0.0,negative,34.0,mad briareus disunion rise
309.0,"like your nest,",2.0,no impact,15.0,like nest
310.0,"leading downward to the river,",2.0,no impact,30.0,leading downward river
311.0,a tyrian colony; the people made,2.0,no impact,32.0,tyrian colony people made
312.0,can storied urn or animated bust:,2.0,no impact,33.0,storied urn animated bust
313.0,"but she spake: ""bid hither gunnar, lest the sun sink o'er the bent,",2.0,no impact,67.0,spake bid hither gunnar lest sun sink oer bent
314.0,despised am i by those who call'd me friend,3.0,mixed,43.0,despised calld friend
315.0,the days pass over me,2.0,no impact,21.0,day pas
316.0,"knowing this, that never yet",2.0,no impact,28.0,knowing never yet
317.0,"no, i won't be seein' nobody in the mornin',",2.0,no impact,44.0,wont seein nobody mornin
318.0,the crack as of her splitting. did she take,2.0,no impact,43.0,crack splitting take
319.0,"i see them torn by gallic guns,",0.0,negative,31.0,see torn gallic gun
320.0,"thou feel'st it burning, in and in,--and fear",0.0,negative,45.0,thou feelst burning inand fear
321.0,your paynim heroes faster ride,1.0,positive,30.0,paynim hero faster ride
322.0,but all of them are bad enough,0.0,negative,30.0,bad enough
323.0,"_you_ took to follerin' where the prophets beckoned,",2.0,no impact,52.0,took follerin prophet beckoned
324.0,godminster? is it fancy's play?,2.0,no impact,31.0,godminster fancy play
325.0,so that my stern resolve was almost gone.,2.0,no impact,41.0,stern resolve almost gone
326.0,"meekly in the eternal footsteps trod,",2.0,no impact,37.0,meekly eternal footstep trod
327.0,"all along down ""injin crik?""",2.0,no impact,28.0,along injin crik
328.0,look down the shining peaks of all my days,1.0,positive,42.0,look shining peak day
329.0,the wood giant,2.0,no impact,14.0,wood giant
330.0,"tinkle, tinkle, sweetly it sung to us,",1.0,positive,38.0,tinkle tinkle sweetly sung u
331.0,"has it become to thee a labyrinth never ending,",0.0,negative,47.0,become thee labyrinth never ending
332.0,"on her changed world of ruin, waste and wrack,",0.0,negative,46.0,changed world ruin waste wrack
333.0,"then along the river strand,",2.0,no impact,28.0,along river strand
334.0,"these are the tales, or new or old,",2.0,no impact,35.0,tale new old
335.0,"for her this rhyme is penned, whose luminous eyes,",1.0,positive,50.0,rhyme penned whose luminous eye
336.0,like morning glory,1.0,positive,18.0,like morning glory
337.0,"the quavering thunder thereupon had ceas'd,",3.0,mixed,43.0,quavering thunder thereupon ceasd
338.0,"to men below,",2.0,no impact,13.0,men
339.0,they had not set there. who had set it there?,2.0,no impact,45.0,set set
340.0,kneeling ne'er spoiled silk stockings; quit thy state;,0.0,negative,54.0,kneeling neer spoiled silk stocking quit thy state
341.0,"sometime, when all life's lessons have been learned,",2.0,no impact,52.0,sometime life lesson learned
342.0,shine knightly star and plume of snow?,1.0,positive,38.0,shine knightly star plume snow
343.0,"he said; and while he spoke, with flying speed",2.0,no impact,46.0,said spoke flying speed
344.0,"from earth, with the waters of pain.",0.0,negative,36.0,earth water pain
345.0,sent by an hand unseen;,2.0,no impact,23.0,sent hand unseen
346.0,till after-poets only knew,2.0,no impact,26.0,till afterpoets knew
347.0,to his aid the strong reverses,2.0,no impact,30.0,aid strong revers
348.0,"and leave the words unspoken i yet have will to speak.""",2.0,no impact,55.0,leave word unspoken yet speak
